               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,              0.0337,            0.014874,           0.0084916,              0.9454,             0.93043,              0.9586,             0.71581,            0.015455,           0.0066259,            0.001942,           0.0087378,           0.0087378,           0.0087378
                  53,            0.033947,            0.015013,            0.008277,             0.94737,             0.93028,             0.95963,             0.71536,            0.015337,           0.0066003,           0.0022704,            0.008713,            0.008713,            0.008713
                  54,            0.034064,            0.014757,            0.008299,             0.94649,             0.92556,             0.95826,             0.71453,            0.015338,           0.0066065,           0.0022541,           0.0086882,           0.0086882,           0.0086882
                  55,            0.033922,            0.014837,           0.0083446,             0.95456,             0.92044,             0.95916,             0.71528,            0.015349,           0.0065838,           0.0023995,           0.0086635,           0.0086635,           0.0086635
                  56,            0.033689,            0.014668,           0.0083566,             0.94824,             0.92224,             0.95841,             0.71557,            0.015252,           0.0065992,           0.0025344,           0.0086388,           0.0086388,           0.0086388
                  57,            0.033712,            0.014726,           0.0086465,              0.9466,             0.91953,             0.95743,             0.71254,            0.015402,           0.0065921,           0.0021758,            0.008614,            0.008614,            0.008614
                  58,            0.033661,            0.014771,           0.0085714,              0.9449,             0.91972,             0.95636,             0.71136,            0.015316,           0.0065795,            0.002372,           0.0085893,           0.0085893,           0.0085893
                  59,            0.033749,            0.014875,           0.0086867,             0.94899,             0.92213,             0.95711,             0.71362,            0.015298,           0.0065799,           0.0022469,           0.0085645,           0.0085645,           0.0085645
                  60,            0.033478,            0.014762,           0.0076137,             0.94915,             0.92721,             0.95847,             0.71596,            0.015303,           0.0066164,           0.0020668,           0.0085398,           0.0085398,           0.0085398
                  61,            0.033911,            0.014959,           0.0080982,             0.95017,             0.93066,             0.95999,             0.71597,            0.015332,            0.006612,           0.0020478,            0.008515,            0.008515,            0.008515
                  62,            0.033056,            0.014793,           0.0084433,              0.9443,             0.93379,             0.96034,             0.71733,            0.015314,           0.0065617,           0.0020295,           0.0084903,           0.0084903,           0.0084903
                  63,            0.033527,            0.014795,           0.0076014,             0.94535,             0.94113,             0.96096,             0.71892,            0.015306,           0.0065495,           0.0018986,           0.0084655,           0.0084655,           0.0084655
                  64,            0.033634,            0.014922,            0.008708,             0.94977,             0.93451,             0.96058,             0.71858,            0.015345,           0.0065302,           0.0018241,           0.0084408,           0.0084408,           0.0084408
                  65,            0.033489,            0.014638,           0.0079473,             0.94913,             0.93056,             0.95981,             0.71699,            0.015357,            0.006534,           0.0018867,            0.008416,            0.008416,            0.008416
                  66,            0.033272,            0.014714,           0.0077588,             0.95055,             0.92772,              0.9595,             0.71682,            0.015331,             0.00654,           0.0019302,           0.0083913,           0.0083913,           0.0083913
                  67,            0.033055,             0.01474,           0.0075946,             0.95132,             0.92983,              0.9605,             0.72034,            0.015259,            0.006537,           0.0017988,           0.0083665,           0.0083665,           0.0083665
                  68,             0.03312,            0.014801,           0.0082469,             0.95034,             0.92889,             0.96069,             0.71983,            0.015251,           0.0065358,           0.0017732,           0.0083418,           0.0083418,           0.0083418
                  69,            0.033538,            0.014633,            0.008173,             0.94457,             0.93033,             0.96056,             0.71955,            0.015235,           0.0065326,           0.0018203,            0.008317,            0.008317,            0.008317
                  70,            0.033467,            0.014604,           0.0078496,             0.95211,             0.92397,             0.96058,              0.7198,            0.015259,           0.0065295,           0.0018141,           0.0082922,           0.0082922,           0.0082922
